Compound	Object ID	Chemical Formula	InChI-Key	ChEBI
dehydrohistidyltryptophyldiketopiperazine	CPD-17379	C17H15N5O2	InChIKey=ITXQTTPWGBFRNK-GIDUJCDVSA-N	182170
6-demethyl-chlortetracycline	CPD-19279	C21H20N2O8Cl	InChIKey=FMTDIUIBLCQGJB-MFQDNQKASA-M	
fumiquinazoline F-indoline-2',3'-diol	CPD-16969	C21H20N4O4	InChIKey=WNVGXEJNTOQSAG-LQOZCNPYSA-N	
5a,11a-dehydrooxytetracycline	CPD-19268	C22H22N2O9	InChIKey=ROBBXUWFDJWPEM-VIWJHOEESA-N	133012
lampranthin I	CPD-15300	C33H31N2O15	InChIKey=QVBBGNGHCPNDTD-DJRAKMMLSA-M	
3-[(2Z,4Z)-5-carbamoyl-3-(dimethylamino)-4-hydroxypenta-2,4-dien-1-yl]-1,8-dihydroxy-4-methylnaphthalene-2-carboxylate	CPD-19263	C20H21N2O6	InChIKey=WKEULRUVMWRJLV-GBUMRVLUSA-M	
6-O-methyl-N-deacetylisoipecoside aglycon	CPD-14813	C20H26NO6	InChIKey=KOBLTMOWUOJKTH-ZWBYBESUSA-O	
minocycline	CPD-19259	C23H26N3O7	InChIKey=PAYJRNZSLKFZAQ-KVUCHLLUSA-M	71337
chanoclavine-I aldehyde	CPD-14459	C16H19N2O	InChIKey=XFKPUSAZRRAPSC-HEESEWQSSA-O	71487
doxycycline	CPD-19256	C22H23N2O8	InChIKey=RPRXAHFLWOCXQL-AKNGSSGZSA-M	50845
agroclavine	CPD-12357	C16H19N2	InChIKey=XJOOMMHNYOJWCZ-UKRRQHHQSA-O	65042
SF2575	CPD-19287	C41H45NO14	InChIKey=ATZURDHTTPSALK-LUPAPQLLSA-N	
harmaline	CPD-9939	C13H14N2O	InChIKey=RERZNCLIYCABFS-UHFFFAOYSA-N	95328
2-acetyl-2-decarboxyamido-oxytetracycline	CPD-19276	C23H25NO9	InChIKey=CXSLZLZWQICHIJ-JSILLTCQSA-N	
demecolcine	CPD-9787	C21H26NO5	InChIKey=NNJPGOLRFBJNIW-HNNXBMFYSA-O	4393
(2Z)-4-{9,10-dihydroxy-5-methyl-1-oxo-3H,4H-naphtho[2,3-c]pyran-3-yl}-4-(dimethylamino)-3-hydroxybut-2-enamide	CPD-19264	C20H22N2O6	InChIKey=CPENHJHQWNCUHT-JYRVWZFOSA-N	
<i>N</i>-debenzoyl-(3'-<i>RS</i>)-taxol	CPD-9203	C40H48NO13	InChIKey=DLACRDONFBNRSP-KWIOUIIFSA-O	63863
tigecycline	CPD-19260	C29H40N5O8	InChIKey=FPZLLRFZJZRHSY-HJYUBDRYSA-O	142708
dopaxanthin	CPD-8671	C18H15N2O8	InChIKey=YSNPSKZBOQYUHH-AFUNOPLTSA-K	4700
demeclocycline	CPD-19257	C21H20N2O8Cl	InChIKey=HACVRJQARVMPPW-SEYHBJAFSA-M	4392
solanid-3-one	CPD-22279	C27H44NO	InChIKey=DCQBOIHKCBTVFH-XCIZRCLMSA-O	
tetracycline	CPD0-1414	C22H24N2O8	InChIKey=OFVLGDICTFRJMM-WESIUVDSSA-N	77932
18,19-dehydro-9-methoxy-camptothecin	CPD-21273	C21H16N2O5	InChIKey=XVXFFULWTYSDDG-NRFANRHFSA-N	
11a-hydroxytetracycline	CPD-19252	C22H24N2O9	InChIKey=FWVRSACGGAUWNP-BWOONYPSSA-N	132727
<i>epi</i>-aszonalenin C	CPD-18326	C23H23N3O2	InChIKey=AVLMMDWEIUEKEK-IAZWUMQMSA-N	
methacycline	CPD-19277	C22H22N2O8	InChIKey=MHIGBKBJSQVXNH-IWVLMIASSA-N	6805
prochaetoglobosin IV	CPD-17431	C32H38N2O3	InChIKey=WDTVRLZSWNFOOH-CTQYYNJESA-N	68756
omadacycline	CPD-19265	C29H40N4O7	InChIKey=JEECQCWWSTZDCK-IQZGDKDPSA-N	
2-oxocyclopiazonate	CPD-17093	C20H19N2O4	InChIKey=KPZUTHBIYITCQF-VHSSQCAVSA-M	
2-methoxy-6-<i>all trans</i>-nonaprenyl-1,4-benzoquinol	CPD-9870	C52H80O3	InChIKey=SKAOREKNLOKWTC-JSGWLJPKSA-N	84529
(R)-benzodiazepinedione	CPD-16899	C18H15N3O2	InChIKey=AQDZAHJUWYRHGM-MRXNPFEDSA-N	188914
6-<i>all trans</i>-octaprenyl-1,4-benzoquinol	CPD-19792	C46H70O2	InChIKey=RFUXBANISHMTPU-LQOKPSQISA-N	
pumiloside	CPD-15042	C26H28N2O9	InChIKey=ODQBQUXGRYBRTP-FWMZWJSFSA-N	80683
2-methoxy-6-<i>all trans</i>-octaprenyl-1,4-benzoquinol	OCTAPRENYL-METHOXY-BENZOQUINONE	C47H72O3	InChIKey=CZFRMASEEPTBAQ-MYCGWMCTSA-N	60655
5-hydroxy-&gamma;-coniceine	CPD-14516	C8H15NO	InChIKey=BVUWSAIHNBMOAG-UHFFFAOYSA-N	
2-methoxy-6-<i>all trans</i>-heptaprenyl-1,4-benzoquinol	CPD-9858	C42H64O3	InChIKey=WEGXYVFDOLUULO-TUUMQRACSA-N	84528
cocaethylene	CPD-14390	C18H24NO4	InChIKey=NMPOSNRHZIWLLL-XUWVNRHRSA-O	
<i>all trans</i>-decaprenyl-2-methoxy-6-1,4-benzoquinol	CPD-9869	C57H88O3	InChIKey=LIOKNOIJMJKVCG-RDSVHMIISA-N	64180
bismorphine B	CPD-12316	C34H38N2O6	InChIKey=NPUAGQSOGDMMPN-GVXQIZHASA-P	
2-<i>all trans</i>-hexaprenyl-6-methoxyhydroquinone	2-HEXAPRENYL-6-METHOXY-14-BENZOQUINOL	C37H56O3	InChIKey=ZAGWHOPYPMUKOK-FRICUITQSA-N	61472
(S)-corytuberine	CPD-9935	C19H22NO4	InChIKey=WHFUDAOCYRYAKQ-LBPRGKRZSA-O	81200
ecgonine methyl ester	CPD-9777	C10H18NO3	InChIKey=QIQNNBXHAYSQRY-UYXSQOIJSA-O	59908
senecionine N-oxide	CPD-8987	C18H26NO6	InChIKey=QIXCUXOLMTWWKN-XTCJGUPPSA-N	52070
amaranthin	CPD-8658	C30H32N2O19	InChIKey=ATSKDYKYMQVTGH-POBNKHOBSA-L	2621
(4<i>R</i>)-perillyl aldehyde	CPD-17083	C10H14O	InChIKey=RUMOYJJNUMEFDD-JTQLQIEISA-N	
soladulcidine	CPD-22270	C27H46NO2	InChIKey=XYNPYHXGMWJBLV-RFGPBLIYSA-O	134426
(4<i>S</i>)-perillyl aldehyde	CPD-20030	C10H14O	InChIKey=RUMOYJJNUMEFDD-SNVBAGLBSA-N	
(4'R)-10',11'-dihydroxy-5'-azaspiro[cyclohexane-1,2'-tricyclo[6.3.1.04,<sup>12</sup>dodecane]-'(12'),2,5,8',10'-pentaen-4-one	CPD-20729	C16H15NO3	InChIKey=PVVIMBKSNYLULM-LLVKDONJSA-N	
prochaetoglobosin I	CPD-17428	C32H38N2O2	InChIKey=PAFRQNXHHHYHMF-XPBHXYGASA-N	68739
(S)-nandinine	CPD-16783	C19H19NO4	InChIKey=PQECCKIOFCWGRJ-HNNXBMFYSA-N	132749
(<i>S</i>,<i>S</i>)-pavine	CPD-22152	C20H24NO4	InChIKey=SRSPZLZVGPJHJH-HOTGVXAUSA-O	77050
narcotine hemiacetal	CPD-14833	C22H25NO7	InChIKey=TZNFGVJRQISOHK-HVHHGIHYSA-N	141667
(<i>R</i>,<i>R</i>)-pavine	CPD-22151	C20H24NO4	InChIKey=SRSPZLZVGPJHJH-HZPDHXFCSA-O	77049
conhydrine	CPD-14511	C8H18NO	InChIKey=VCCAAURNBULZRR-UHFFFAOYSA-O	
17-hydroxylupanine	CPD-13928	C15H25N2O2	InChIKey=LCORZQTZVFOPGT-UHFFFAOYSA-O	64287
3,4-dihydroxy-2-methyl-4-farnesyl-3H-quinolin-1-ium-1-olate	CPD-18736	C25H35NO3	InChIKey=QONKLYKAMCVBLM-YEFHWUCQSA-N	90786
scoulerine intermediate II	CPD-11850	C19H20NO4	InChIKey=XGUUAUNATRYNKA-UHFFFAOYSA-O	
aurachin B epoxide	CPD-15912	C25H33NO3	InChIKey=BXVJMAHFHWAYHD-LDADJPATSA-N	
coniine	CPD-9425	C8H18N	InChIKey=NDNUANOUGZGEPO-UHFFFAOYSA-O	28322
aurachin D	CPD-15909	C25H33NO	InChIKey=JHMLNOXMSHURLQ-YEFHWUCQSA-N	2921
(<i>S</i>)-laudanine	CPD-8924	C20H26NO4	InChIKey=MPYHGNAJOKCMAQ-INIZCTEOSA-O	75999
4-hydroxy-2-methyl-4-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-yl]quinolin-3(4H)-one 1-oxide	CPD-18762	C25H33NO3	InChIKey=HZBJGDKEAJESLM-YEFHWUCQSA-N	90890
gomphrenin I	CPD-8655	C24H24N2O13	InChIKey=YUDKHXMQDKVDGU-FMOSSLLZSA-L	5518
aurachin C epoxide	CPD-15913	C25H33NO3	InChIKey=FORHHPRBEFTLRM-YEFHWUCQSA-N	90889
narcotoline	CPD-21507	C21H21NO7	InChIKey=LMGZCSKYOKDBES-AEFFLSMTSA-N	7482
aurachin B	CPD-15910	C25H33NO2	InChIKey=ZNSLRZHNFFXDSE-YEFHWUCQSA-N	131528
glaziovine	CPD-20725	C18H19NO3	InChIKey=PNJUPRNTSWJWAX-CYBMUJFWSA-N	5376
aurachin C	CPD-7733	C25H33NO2	InChIKey=FIHXCHBEHLCXEG-YEFHWUCQSA-N	90888
deoxytryptoquialanine	CPD-17911	C27H26N4O6	InChIKey=IRWSNHNREOZOBF-AAONRLKRSA-N	
4-hydroxy-2-methyl-3-oxo-4-farnesyl-3,4-dihydroquinoline-1-oxide	CPD-18733	C25H33NO3	InChIKey=RNXNMMDMLFJCKP-YEFHWUCQSA-N	90785
roquefortine F	CPD-17393	C23H25N5O3	InChIKey=UGXLTDJSORIITQ-MHWRWJLKSA-N	
aurachin A	CPD-15911	C25H33NO3	InChIKey=ZEUIHPOXFICJIT-QOSXKSOISA-N	90924
(<i>R</i>)-laudanine	CPD-15937	C20H26NO4	InChIKey=MPYHGNAJOKCMAQ-MRXNPFEDSA-O	76001
aurachin RE	CPD-15906	C25H33NO3	InChIKey=CHMBGHGLJJOOSO-VAKGXLRMSA-N	
(13<i>S</i>,14<i>R</i>)-13-<i>O</i>-acetyl-1,8-dihydroxy-<i>N</i>-methylcanadine	CPD-14830	C23H26NO8	InChIKey=ZMVJJIWEZXWPAJ-DIOGXUQJSA-O	141642
fumigaclavine A	CPD-14468	C18H23N2O2	InChIKey=GJSSYQDXZLZOLR-IMKJFWDFSA-O	67145
6-carboxydemethylmenaquinol-6	CPD-24833	C41H55O4	InChIKey=AFLBTLBIGAMOTF-LVYXLONPSA-M	
<i>N</i>-debenzoyl-(3'-<i>RS</i>)-2'-deoxytaxol	CPD-12845	C40H48NO12	InChIKey=YNAFMBLTFSPCAE-RVJKEIMSSA-O	
6-carboxy-2-demethylmenaquinol-8	CPD-24832	C51H71O4	InChIKey=HXSTVRJUCRUIJD-STGMVRLJSA-M	
1,8-dihydroxy-3-methylnaphthalene	CPD-11688	C11H10O2	InChIKey=MXAXVWCKFBLVSU-UHFFFAOYSA-N	31041
(<i>R</i>)-nicotine	R-NICOTINE	C10H15N2	InChIKey=SNICXCGAKADSCV-SNVBAGLBSA-O	79008
cinchonidine	CPD-9835	C19H23N2O	InChIKey=KMPWYEUPVWOPIM-YNRGSOABSA-O	3703
vanillylamine	CPD-9327	C8H12NO2	InChIKey=WRPWWVNUCXQDQV-UHFFFAOYSA-O	149596
betanidin quinone	CPD-8890	C18H12N2O8	InChIKey=MCTHLMSFLMEBEK-AAEUAGOBSA-L	140727
cuscohygrine	CPD-22989	C13H26N2O	InChIKey=ZEBIACKKLGVLFZ-TXEJJXNPSA-P	27920
anatalline	CPD-21444	C15H17N3	InChIKey=COWQBMIVVHLMNO-UHFFFAOYSA-N	31211
(S)-coreximine	CPD-19604	C19H21NO4	InChIKey=BWUQAWCUJMATJS-HNNXBMFYSA-N	175178
deoxynortryptoquialanone	CPD-17886	C25H22N4O5	InChIKey=BJECLNQPLFRMKX-KPCPBYSCSA-N	
glandicoline B	CPD-17390	C22H21N5O4	InChIKey=YEVSOYBNHBOQJZ-CXUHLZMHSA-N	134347
emetine	CPD-14817	C29H42N2O4	InChIKey=AUVVAXYIELKVAI-CKBKHPSWSA-P	149548
dihydrochanoclavine-I aldehyde	CPD-14465	C16H21N2O	InChIKey=FZMIVISXXWRICN-SKNXHYNKSA-O	65032
lysergate	CPD-12364	C16H16N2O2	InChIKey=ZAGRKAFMISFKIO-QMTHXVAHSA-N	6604
&alpha;-cyclopiazonate	ALPHA-CYCLOPIAZONATE	C20H19N2O3	InChIKey=CNZIQHGDUXRUJS-PTNHGACKSA-M	58256
(1<i>S</i>,2<i>S</i>)-norpseudoephedrine	CPD-9953	C9H14NO	InChIKey=DLNKOYKMWOXYQA-IONNQARKSA-O	4109
cinchoninone	CPD-9826	C19H20N2O	InChIKey=AEFOLTVWSRMXMW-IXRXBBNISA-N	80686
&beta;-chaconine	CPD-9215	C39H64NO10	InChIKey=ZLSYCIYRYZUJCZ-MTXMLOAPSA-O	
betaxanthin	CPD-8757	C18H18N2O6	InChIKey=SBHOSQZNRDXQAX-WSESCXGKSA-L	81319
(R)-nornicotine	CPD-22868	C9H13N2	InChIKey=MYKUKUCHPMASKF-SECBINFHSA-O	37
irinotecan	CPD-21277	C33H38N4O6	InChIKey=UWKQSNNFCGGAFS-XIFFEERXSA-N	80630
furostanol-26-alcohol	CPD-18646	C27H44O4	InChIKey=HHNBHWPLXYYKCZ-VVDGRPBXSA-N	
cuspinin	CPD-17777	C41H28O26	InChIKey=SWRFKGRMQVLMKA-JIZJWZDPSA-N	3461
fumiquinazoline F-indoline-3'-ol	CPD-17881	C21H19N4O3	InChIKey=RVQNOOJOTDDOBU-LKNMKHRSSA-O	
macabarterin	CPD-17771	C46H38O32	InChIKey=VISRMSOIXCRLBK-KEUKPHDASA-N	66646
roquefortine D	CPD-17380	C22H25N5O2	InChIKey=IQVNREJWRXOHEO-UHFFFAOYSA-N	
tellimagrandin II	CPD-8949	C41H30O26	InChIKey=JCGHAEBIBSEQAD-UUUCSUBKSA-N	4916
(<i>S</i>)-laudanosine	CPD-15741	C21H28NO4	InChIKey=KGPAYJZAMGEDIQ-KRWDZBQOSA-O	6389
alnusiin	CPD-17779	C41H26O26	InChIKey=OAZHOQDMOPZBMN-RBKPYHMISA-N	2606
6,7-O,O-dimethyl-N-deacetylisoipecoside aglycon	CPD-14814	C21H28NO6	InChIKey=JVBKAPXWUUWPPX-UBIBAOAHSA-O	
pedunculagin	CPD-17772	C34H24O22	InChIKey=IYMHVUYNBVWXKH-ZITZVVOASA-N	7948
6,8-dimethyl-6,7,8,9-tetradehydroergoline	CPD-14460	C16H17N2	InChIKey=CATKRDCRCIXECQ-UKRRQHHQSA-N	65036
cornusiin E	CPD-8950	C82H58O52	InChIKey=DPFDPBNAIOIBJC-YLVKXZTISA-N	
elymoclavine	CPD-12358	C16H19N2O	InChIKey=DAVNRFCJMIONPO-UKRRQHHQSA-O	4777
bicornin	CPD-17780	C48H32O30	InChIKey=DOTJYWQAPHIAIF-TWNAEOARSA-N	180727
harmine	CPD-9940	C13H12N2O	InChIKey=BXNJHAXVSOCGBA-UHFFFAOYSA-N	28121
castalagin	CPD-17776	C41H26O26	InChIKey=UDYKDZHZAKSYCO-JLQXGYSZSA-N	
O-methylandrocymbine	CPD-9788	C22H27NO5	InChIKey=AYPIIWGCGUQVNZ-OYHNWAKOSA-N	80674
corilagin	CPD-17770	C27H22O18	InChIKey=TUSDEZXZIZRFGC-XIGLUPEJSA-N	3884
solanine	CPD-9210	C45H74NO15	InChIKey=ZGVSETXHNHBTRK-NPQOSWHTSA-O	
castalin	CPD-17781	C27H20O18	InChIKey=PPUHUWSVCUJGTD-UHFFFAOYSA-N	
dopaxanthin quinone	CPD-8672	C18H13N2O8	InChIKey=DVOFEZJSDVPRON-AFUNOPLTSA-K	81318
[(1S,3R)-2,2,3-trimethyl-4-oxocyclopentyl]acetate	CPD-14307	C10H15O3	InChIKey=VRCGDJCVKWWRME-BQBZGAKWSA-M	
demissidine	CPD-22280	C27H46NO	InChIKey=JALVTHFTYRPDMB-NMZJTGJESA-O	
[(1S,3S)-2,2,3-trimethyl-4-oxocyclopentyl]acetate	CPD-14308	C10H15O3	InChIKey=VRCGDJCVKWWRME-RQJHMYQMSA-M	
9-methoxycamptothecin	CPD-21274	C21H18N2O5	InChIKey=XVMZDZFTCKLZTF-NRFANRHFSA-N	
(<i>R</i>)-norcoclaurine	R-NORCOCLAURINE	C16H18NO3	InChIKey=WZRCQWQRFZITDX-CQSZACIVSA-O	27751
20-dihydro-chaetoglobosin A	CPD-17432	C32H38N2O5	InChIKey=SRTKOCMGVNIWFH-AHUHYEDWSA-N	68754
(S)-norcoclaurine	S-NORCOCLAURINE	C16H18NO3	InChIKey=WZRCQWQRFZITDX-AWEZNQCLSA-O	58253
peramine	CPD-17338	C12H18N5O	InChIKey=GQWWGRUJOCIUKI-UHFFFAOYSA-O	
acetylaszonalenin	CPD-16900	C25H25N3O3	InChIKey=TXNJQKDZOVFCAQ-PCXNKIBISA-N	
deoxypumiloside	CPD-15043	C26H28N2O8	InChIKey=BNDDTTIRGZIQSE-ZEZHKYRDSA-N	80685
cyclic ADP-ribose	CPD-14880	C15H20N5O13P2	InChIKey=RSEFDAKYCYLNIE-KEOHHSTQSA-M	31445
N-formyldemecolcine	CPD-14544	C22H25NO6	InChIKey=HTWMEJLBEVTMMZ-INIZCTEOSA-N	80675
ADP-D-ribose	ADENOSINE_DIPHOSPHATE_RIBOSE	C15H21N5O14P2	InChIKey=SRNWOUGRCWSEMX-TYASJMOZSA-L	57967
ergometrine	CPD-14457	C19H23N3O2	InChIKey=WVVSZNPYNCNODU-XTQGRXLLSA-N	4822
2'-phospho-cyclic ADP-ribose	CPD-15008	C15H19N5O16P3	InChIKey=FUQPZSKOSARDNY-KEOHHSTQSA-K	75970
anabasine	CPD-12317	C10H15N2	InChIKey=MTXSIJUGVMTTMU-UHFFFAOYSA-O	
<i>N<sup>&omega;</sup></i>-(ADP-D-ribosyl)-L-arginine	CPD-10699	C21H34N9O15P2	InChIKey=IWVSYNGKNZFSSA-DDOAXLDKSA-M	15827
(S)-magnoflorine	CPD-9936	C20H24NO4	InChIKey=YLRXAIKMLINXQY-ZDUSSCGKSA-O	6641
ADP-ribose 2'-phosphate	CPD-861	C16H22N5O16P3	InChIKey=RCBVLCGGOOAHQO-JEVGYPOASA-J	
(S)-colchicine	CPD-9785	C22H25NO6	InChIKey=IAKHMKGGTNLKSZ-INIZCTEOSA-N	27882
ADP ribose 1''-phosphate	CPD-10794	C15H20N5O17P3	InChIKey=CUNFRFHBHMFVPH-TYASJMOZSA-J	
N-vanillyl octanamide	CPD-9180	C16H25NO3	InChIKey=JYZDUDMWJFJCON-UHFFFAOYSA-N	173991
ADP ribose 1'',2''-cyclic phosphate	CPD-9007	C15H19N5O16P3	InChIKey=NPSPRYXPOGPCPM-TYASJMOZSA-K	76596
miraxanthin V	CPD-8659	C17H16N2O6	InChIKey=PDKFHZWVCCZUIF-WPJLFRKISA-L	6948
(<i>S</i>)-codamine	CPD-22271	C20H26NO4	InChIKey=OKORHWXYDBSYNO-INIZCTEOSA-O	143148
(1<i>R</i>,2<i>R</i>)-norpseudoephedrine	CPD-20957	C9H14NO	InChIKey=DLNKOYKMWOXYQA-APPZFPTMSA-O	8104
ADP-L-glycero-&beta;-D-<I>manno</I>-heptose	ADP-L-GLYCERO-D-MANNO-HEPTOSE	C17H25N5O16P2	InChIKey=KMSFWBYFWSKGGR-DTBZDYEHSA-L	61506
cytoglobosin D	CPD-17429	C32H38N2O4	InChIKey=PSEVHIVYAHBJDR-HMIIDTQCSA-N	68762
ADP-mannose	ADP-MANNOSE	C16H23N5O15P2	InChIKey=WFPZSXYXPSUOPY-RYRBFGMPSA-L	28845
5-<i>N</i>-acetylardeemin	CPD-16986	C28H28N4O3	InChIKey=XTLQWSBGQKPGCF-DTCQQCFZSA-N	
ADP-&alpha;-D-glucose	ADP-D-GLUCOSE	C16H23N5O15P2	InChIKey=WFPZSXYXPSUOPY-ROYWQJLOSA-L	57498
7,8-dihydroberberine	CPD-16870	C20H19NO4	InChIKey=FZAGOOYMTPGPGF-UHFFFAOYSA-N	192073
ADP-D-glycero-&beta;-D-<i>manno</i>-heptose	ADP-D-GLYCERO-D-MANNO-HEPTOSE	C17H25N5O16P2	InChIKey=KMSFWBYFWSKGGR-FQBROAFUSA-L	59967
noscapine	CPD-14834	C22H23NO7	InChIKey=AKNNEGZIBPJZJG-MSOLQXFVSA-N	73237
conhydrinone	CPD-14512	C8H16NO	InChIKey=FDOBDBWYWMTMKT-UHFFFAOYSA-O	
3,6-dihydronicotine	CPD-14076	C10H17N2	InChIKey=FHQCTCOXKBQXGN-AXDSSHIGSA-O	
UDP-&alpha;-D-glucose	CPD-12575	C15H22N2O17P2	InChIKey=HSCJRCZFDFQWRP-JZMIEXBBSA-L	58885
dehydroscoulerine	CPD-11852	C19H18NO4	InChIKey=DRAPVRZDBZHUPL-UHFFFAOYSA-O	521121
UDP-4-acetamido-4,6-dideoxy-&alpha;-L-galactose	CPD-20821	C17H25N3O16P2	InChIKey=DLRKUVQEYJDSJR-VOTSWAKWSA-L	
corynantheal	CPD-9851	C19H22N2O	InChIKey=SERYQFDKEYVUFP-DEYYWGMASA-N	80695
methylconiine	CPD-9426	C9H20N	InChIKey=CUBHREGSQFAWDJ-SECBINFHSA-O	32
&alpha;-NADPH	CPD-16005	C21H26N7O17P3	InChIKey=ACFIXJIJDZMPPO-OPDHFMQKSA-J	77177
guattegaumerine	CPD-8925	C36H42N2O6	InChIKey=FDABVSXGAMFQQH-LOYHVIPDSA-P	5568
&alpha;-NADH	CPD-16006	C21H27N7O14P2	InChIKey=BOPGDPNILDQYTO-OPDHFMQKSA-L	77176
cyclo-dopa 5-<i>O</i>-glucoside	CPD-8656	C15H18NO9	InChIKey=PXMFPPFHRQZIHO-OLCQZNMOSA-M	81316
CMP-<i>N</i>-glycoloyl-&beta;-neuraminate	CPD-262	C20H29N4O17P	InChIKey=HOEWKBQADMRCLO-UIUGZIMDSA-L	58376
solasod-4-en-3-one	CPD-22268	C27H42NO2	InChIKey=XCAKPWXDUSEAEH-KBJXEFJHSA-O	
CMP-8-amino-3,8-dideoxy-&alpha;-D-<i>manno</i>-octulosonate	CPD-18062	C17H26N4O14P	InChIKey=DRAKZHNWGXXUTP-XKKDATLGSA-M	91089
crotonosine	CPD-20726	C17H17NO3	InChIKey=BYJAWHGHAOZTGW-GFCCVEGCSA-N	
CMP-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-non-2-ulopyranosonate	CPD-10737	C18H26N3O16P	InChIKey=SFLGTPJBQWRIMH-ZBOJUINDSA-L	90989
