ids,growth,status,name,reaction,class
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_4ABUTD,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ABUTD,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALCD19,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD19xr,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD20x,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD20y,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD2x,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD2y,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD3y,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_GCALDD,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_GLYALDDr,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_LCADi,redox reaction
lcl_CP069514_1_prot_QRP19674_1_895,4.306265765278386e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_NABTNO,redox reaction
lcl_CP069514_1_prot_QRP19762_1_990,-1.531631993147961e-12,optimal,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Corynebacterium striatum]",R_MECDPS,cleavage
lcl_CP069514_1_prot_QRP18936_1_47,-2.2717403364182913e-14,optimal,adenylate kinase [Corynebacterium striatum],R_ADK1,phosphorylation
lcl_CP069514_1_prot_QRP18936_1_47,-2.2717403364182913e-14,optimal,adenylate kinase [Corynebacterium striatum],R_ADK2,phosphorylation
lcl_CP069514_1_prot_QRP18688_1_2454,1.3981046308417187e-13,optimal,dTMP kinase [Corynebacterium striatum],R_DTMPK,biochemical reaction
lcl_CP069514_1_prot_QRP19947_1_1211,-1.1689239422954462e-12,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK1,phosphorylation
lcl_CP069514_1_prot_QRP19947_1_1211,-1.1689239422954462e-12,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK2,phosphorylation
lcl_CP069514_1_prot_QRP19947_1_1211,-1.1689239422954462e-12,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK3,phosphorylation
lcl_CP069514_1_prot_QRP19947_1_1211,-1.1689239422954462e-12,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK4,phosphorylation
lcl_CP069514_1_prot_QRP19947_1_1211,-1.1689239422954462e-12,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK5,phosphorylation
lcl_CP069514_1_prot_QRP19947_1_1211,-1.1689239422954462e-12,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK6,phosphorylation
lcl_CP069514_1_prot_QRP19947_1_1211,-1.1689239422954462e-12,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK7,phosphorylation
lcl_CP069514_1_prot_QRP19947_1_1211,-1.1689239422954462e-12,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK8,phosphorylation
lcl_CP069514_1_prot_QRP17893_1_1541,-1.0503211445778735e-12,optimal,1-deoxy-D-xylulose-5-phosphate reductoisomerase [Corynebacterium striatum],R_DXPRIi,redox reaction
lcl_CP069514_1_prot_QRP20018_1_1295,0.0,optimal,isoprenyl transferase [Corynebacterium striatum],R_IPDPUDCT,biochemical reaction
lcl_CP069514_1_prot_QRP20018_1_1295,0.0,optimal,isoprenyl transferase [Corynebacterium striatum],R_UDPDPS,biochemical reaction
lcl_CP069514_1_prot_QRP20018_1_1295,0.0,optimal,isoprenyl transferase [Corynebacterium striatum],R_UDPDPS2,biochemical reaction
lcl_CP069514_1_prot_QRP18902_1_8,-4.948975588152026e-14,optimal,phosphoglucosamine mutase [Corynebacterium striatum],R_ACGAMPM,isomerisation
lcl_CP069514_1_prot_QRP18902_1_8,-4.948975588152026e-14,optimal,phosphoglucosamine mutase [Corynebacterium striatum],R_PGAMT,isomerisation
lcl_CP069514_1_prot_QRP18283_1_1989,1.5887537009453675e-13,optimal,isochorismate synthase [Corynebacterium striatum],R_ICHORS,isomerisation
lcl_CP069514_1_prot_QRP18246_1_1947,0.0,optimal,pantetheine-phosphate adenylyltransferase [Corynebacterium striatum],R_PTPATi,transfer of a chemical group
lcl_CP069514_1_prot_QRP18490_1_2224,-2.1058105951307075e-12,optimal,isoprenyl transferase [Corynebacterium striatum],R_GRTT,transfer of a chemical group
lcl_CP069514_1_prot_QRP19782_1_1014,-1.6841494133412804e-12,optimal,adenylosuccinate lyase [Corynebacterium striatum],R_ADSL1r,cleavage
lcl_CP069514_1_prot_QRP19782_1_1014,-1.6841494133412804e-12,optimal,adenylosuccinate lyase [Corynebacterium striatum],R_ADSL2r,cleavage
lcl_CP069514_1_prot_QRP18075_1_1755,-5.3771395862753135e-12,optimal,dephospho-CoA kinase [Corynebacterium striatum],R_DPCOAK,phosphorylation
lcl_CP069514_1_prot_QRP18475_1_2207,3.3060255822786486e-12,optimal,class II fumarate hydratase [Corynebacterium striatum],R_FUM,cleavage
lcl_CP069514_1_prot_QRP17842_1_1486,-5.817408449018735e-14,optimal,glycerate kinase [Corynebacterium striatum],R_GLYCK,phosphorylation
lcl_CP069514_1_prot_QRP17842_1_1486,-5.817408449018735e-14,optimal,glycerate kinase [Corynebacterium striatum],R_GLYCK2,biochemical reaction
lcl_CP069514_1_prot_QRP18233_1_1933,7.702637311629948e-13,optimal,guanylate kinase [Corynebacterium striatum],R_DGK1,biochemical reaction
lcl_CP069514_1_prot_QRP18233_1_1933,7.702637311629948e-13,optimal,guanylate kinase [Corynebacterium striatum],R_GK1,phosphorylation
lcl_CP069514_1_prot_QRP18489_1_2222,-7.591693528856357e-13,optimal,type I pantothenate kinase [Corynebacterium striatum],R_PNCDC,decarboxylation
lcl_CP069514_1_prot_QRP18489_1_2222,-7.591693528856357e-13,optimal,type I pantothenate kinase [Corynebacterium striatum],R_PNTK,phosphorylation
lcl_CP069514_1_prot_QRP18489_1_2222,-7.591693528856357e-13,optimal,type I pantothenate kinase [Corynebacterium striatum],R_APCPT,biochemical or transport reaction
lcl_CP069514_1_prot_QRP18489_1_2222,-7.591693528856357e-13,optimal,type I pantothenate kinase [Corynebacterium striatum],R_APNPT,biochemical or transport reaction
lcl_CP069514_1_prot_QRP19021_1_142,-2.1144900074528537e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_OXGDC,decarboxylation
lcl_CP069514_1_prot_QRP19021_1_142,-2.1144900074528537e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_SEPHCHCS,transfer of a chemical group
lcl_CP069514_1_prot_QRP19021_1_142,-2.1144900074528537e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_SHCHCS3,cleavage
lcl_CP069514_1_prot_QRP18542_1_2286,0.0,optimal,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Corynebacterium striatum],R_CDPMEK,phosphorylation
lcl_CP069514_1_prot_QRP17789_1_1426,6.84835001360589e-14,optimal,phospho-N-acetylmuramoyl-pentapeptide-transferase [Corynebacterium striatum],R_PAPPT3,transfer of a chemical group
lcl_CP069514_1_prot_QRP19024_1_145,-1.4453986689622972e-09,optimal,o-succinylbenzoate synthase [Corynebacterium striatum],, 
lcl_CP069514_1_prot_QRP19030_1_154,-2.1146861453028e-09,optimal,o-succinylbenzoate--CoA ligase [Corynebacterium striatum],, 
lcl_CP069514_1_prot_QRP17779_1_1415,-2.094267041646745e-12,optimal,polyprenyl synthetase family protein [Corynebacterium striatum],R_DMATT,transfer of a chemical group
lcl_CP069514_1_prot_QRP17779_1_1415,-2.094267041646745e-12,optimal,polyprenyl synthetase family protein [Corynebacterium striatum],R_FRTT,transfer of a chemical group
lcl_CP069514_1_prot_QRP17735_1_1364,-1.6036606138801394e-14,optimal,CTP synthase [Corynebacterium striatum],R_CTPS1,biochemical reaction
lcl_CP069514_1_prot_QRP17735_1_1364,-1.6036606138801394e-14,optimal,CTP synthase [Corynebacterium striatum],R_CTPS2,biochemical reaction
lcl_CP069514_1_prot_QRP18841_1_2634,-1.5636576195596678e-13,optimal,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT [Corynebacterium striatum],R_PLPS,biochemical reaction
lcl_CP069514_1_prot_QRP19741_1_967,7.562892339047974e-14,optimal,dihydroneopterin aldolase [Corynebacterium striatum],R_DHNPA2r,cleavage
lcl_CP069514_1_prot_QRP19741_1_967,7.562892339047974e-14,optimal,dihydroneopterin aldolase [Corynebacterium striatum],R_DHNPA_1,biochemical reaction
lcl_CP069514_1_prot_QRP20208_1_1931,-1.5835662286771409e-13,optimal,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Corynebacterium striatum],R_PPCDC,decarboxylation
lcl_CP069514_1_prot_QRP20208_1_1931,-1.5835662286771409e-13,optimal,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Corynebacterium striatum],R_PPNCL3,biochemical reaction
lcl_CP069514_1_prot_QRP18139_1_1830,7.501925594775166e-14,optimal,magnesium/cobalt transporter CorA [Corynebacterium striatum],R_COBALTt5,passive transport
lcl_CP069514_1_prot_QRP18139_1_1830,7.501925594775166e-14,optimal,magnesium/cobalt transporter CorA [Corynebacterium striatum],R_MGt5,passive transport
lcl_CP069514_1_prot_QRP18039_1_1709,-1.4667161047126676e-09,optimal,adenine phosphoribosyltransferase [Corynebacterium striatum],R_ADPT,glycosylation
lcl_CP069514_1_prot_QRP19097_1_231,-1.4452418949391536e-09,optimal,S-ribosylhomocysteine lyase [Corynebacterium striatum],R_RHCCE,cleavage
lcl_CP069514_1_prot_QRP18111_1_1796,-8.862833569155246e-13,optimal,(d)CMP kinase [Corynebacterium striatum],R_CYTK1,biochemical reaction
lcl_CP069514_1_prot_QRP18111_1_1796,-8.862833569155246e-13,optimal,(d)CMP kinase [Corynebacterium striatum],R_CYTK2,biochemical reaction
