,Id,Unbalanced Reaction,Unbalanced Type,Reason,Shared Metabolites,Mass Difference,Charge Difference
10,R_GLCS1,"Reaction(id='R_GLCS1', name='Glycogen synthase (ADPGlc)', metabolites={Metabolite(id='M_adp_c', name='ADP', formula=C10H12N5O10P2, charge=-3, SBO=247): 1.0, Metabolite(id='M_glycogen_c', name='Glycogen', formula=C24H42O21, charge=0, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -31.0, Metabolite(id='M_adpglc_c', name='ADPglucose', formula=C16H23N5O15P2, charge=-2, SBO=247): -1.0}, SBO=217)","Mass, Charge",R_GLCS1,"M_adpglc_c, M_adp_c, M_glycogen_c, M_h_c","C: 18.0, O: 16.0",-32.0
11,R_GLDBRAN2,"Reaction(id='R_GLDBRAN2', name='Glycogen debranching enzyme (bglycogen -> glycogen)', metabolites={Metabolite(id='M_glycogen_c', name='Glycogen', formula=C24H42O21, charge=0, SBO=247): 1.0, Metabolite(id='M_bglycogen_c', name='Branching glycogen', formula=C30H52O26, charge=0, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 10.0}, SBO=217)","Mass, Charge",R_GLDBRAN2,"M_h_c, M_glycogen_c, M_bglycogen_c","C: -6.0, O: -5.0",10.0
12,R_KAS14,"Reaction(id='R_KAS14', name='Beta-ketoacyl-ACP synthase', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_actACP_c', name='Acetoacetyl-ACP', formula=C4H5O2R, charge=0, SBO=247): 1.0, Metabolite(id='M_co2_c', name='CO2', formula=CO2, charge=0, SBO=247): 1.0, Metabolite(id='M_acACP_c', name='Acetyl-ACP', formula=C13H24N2O8PR, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 21.0, Metabolite(id='M_malACP_c', name='Malonyl-[acyl-carrier protein]', formula=C14H24N2O10PR, charge=-2, SBO=247): -1.0}, SBO=399)","Mass, Charge",,,"C: -11.0, N: -2.0, O: -7.0, P: -1.0",23.0
13,R_MOCDS,"Reaction(id='R_MOCDS', name='Molybdopterin cytidine dinucleotide synthase', metabolites={Metabolite(id='M_mococdp_c', name='Molybdopterin cytosine dinucleotide', formula=C19H22MoN8O15P2S2, charge=-2, SBO=247): 1.0, Metabolite(id='M_ppi_c', name='Diphosphate', formula=HO7P2, charge=-3, SBO=247): 1.0, Metabolite(id='M_ctp_c', name='CTP', formula=C9H12N3O14P3, charge=-4, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 0.0, Metabolite(id='M_moco_c', name='Molybdenum cofactor', formula=C10H11MoN5O9P3, charge=3, SBO=247): -1.0}, SBO=176)","Mass, Charge",R_MOCDS,"M_ppi_c, M_ctp_c, M_moco_c, M_h_c, M_mococdp_c","O: -1.0, P: -2.0, S: 2.0",-4.0
14,R_MOADSUx,"Reaction(id='R_MOADSUx', name='MoaD sulfuration (nadh, assumed)', metabolites={Metabolite(id='M_amp_c', name='AMP', formula=C10H12N5O7P, charge=-2, SBO=247): 1.0, Metabolite(id='M_iscs_c', name='IscS sulfur acceptor protein', formula=HRS, charge=0, SBO=247): 1.0, Metabolite(id='M_moadcosh_c', name='MoaD Protein with thiocarboxylate', formula=CO2PR, charge=0, SBO=247): 1.0, Metabolite(id='M_nad_c', name='Nicotinamide adenine dinucleotide', formula=C21H26N7O14P2, charge=-1, SBO=247): 1.0, Metabolite(id='M_iscssh_c', name='IscS with bound sulfur', formula=HRS2, charge=0, SBO=247): -1.0, Metabolite(id='M_moadamp_c', name='MoaD Protein with bound AMP', formula=C11H12N5O8PR, charge=-1, SBO=247): -1.0, Metabolite(id='M_nadh_c', name='Nicotinamide adenine dinucleotide - reduced', formula=C21H27N7O14P2, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 1.0}, SBO=200)","Mass, Charge","R_MPTSS, R_MPTS, R_MPTAT, R_MOCOS, R_MOADSUx, R_I2FE2ST, R_I2FE2SR, R_BTS5",M_h_c,"O: 1.0, P: 1.0, S: -1.0",1.0
15,R_I2FE2SR,"Reaction(id='R_I2FE2SR', name='ISC [2Fe-2S] regeneration', metabolites={Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_iscs_c', name='IscS sulfur acceptor protein', formula=HRS, charge=0, SBO=247): 1.0, Metabolite(id='M_iscu_2fe2s_c', name='IscU with bound [2Fe-2S] cluster', formula=Fe27RS3, charge=0, SBO=247): 1.0, Metabolite(id='M_2fe1s_c', name='[2Fe-1S] desulfurated iron-sulfur cluster', formula=Fe26HRS, charge=1, SBO=247): -1.0, Metabolite(id='M_iscssh_c', name='IscS with bound sulfur', formula=HRS2, charge=0, SBO=247): -1.0, Metabolite(id='M_iscu_c', name='IscU scaffold protein', formula=FeHRS, charge=1, SBO=247): -1.0}, SBO=176)",Mass,,,R: -1.0,0.0
16,R_I2FE2ST,"Reaction(id='R_I2FE2ST', name='ISC [2Fe-2S] Transfer', metabolites={Metabolite(id='M_2fe2s_c', name='[2Fe-2S] iron-sulfur cluster', formula=Fe26HRS2, charge=1, SBO=247): 1.0, Metabolite(id='M_iscu_c', name='IscU scaffold protein', formula=FeHRS, charge=1, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -2.0, Metabolite(id='M_iscu_2fe2s_c', name='IscU with bound [2Fe-2S] cluster', formula=Fe27RS3, charge=0, SBO=247): -1.0}, SBO=176)",Mass,,,R: 1.0,0.0
17,R_I4FE4ST,"Reaction(id='R_I4FE4ST', name='ISC [4Fe-4S] Transfer', metabolites={Metabolite(id='M_4fe4s_c', name='[4Fe-4S] iron-sulfur cluster', formula=Fe28RS4, charge=0, SBO=247): 1.0, Metabolite(id='M_iscu_c', name='IscU scaffold protein', formula=FeHRS, charge=1, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 0.0, Metabolite(id='M_iscu_4fe4s_c', name='IscU with bound [4Fe-4S] cluster', formula=Fe29HRS5, charge=1, SBO=247): -1.0}, SBO=176)",Mass,,,R: 1.0,0.0
18,R_MYCTR,"Reaction(id='R_MYCTR', name='MYCTR', metabolites={Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 1.0, Metabolite(id='M_nadph_c', name='Nicotinamide adenine dinucleotide phosphate - reduced', formula=C21H26N7O17P3, charge=-4, SBO=247): 1.0, Metabolite(id='M_mssg_c', name='Mycothiol (oxidized - dimer)', formula=C34H58N4O24S, charge=0, SBO=247): 1.0, Metabolite(id='M_nadp_c', name='Nicotinamide adenine dinucleotide phosphate', formula=C21H25N7O17P3, charge=-3, SBO=247): -1.0, Metabolite(id='M_msh_c', name='Mycothiol (reduced)', formula=C17H30N2O12S, charge=0, SBO=247): -2.0}, SBO=200)",Mass,R_MYCTR,"M_mssg_c, M_msh_c, M_h_c, M_nadp_c, M_nadph_c",S: -1.0,0.0
19,R_MYCTR2,"Reaction(id='R_MYCTR2', name='MYCTR2', metabolites={Metabolite(id='M_gthrd_c', name='Reduced glutathione', formula=C10H16N3O6S, charge=-1, SBO=247): 2.0, Metabolite(id='M_mssg_c', name='Mycothiol (oxidized - dimer)', formula=C34H58N4O24S, charge=0, SBO=247): 1.0, Metabolite(id='M_gthox_c', name='Oxidized glutathione', formula=C20H30N6O12S2, charge=-2, SBO=247): -1.0, Metabolite(id='M_msh_c', name='Mycothiol (reduced)', formula=C17H30N2O12S, charge=0, SBO=247): -2.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 0.0}, SBO=176)",Mass,R_MYCTR2,"M_mssg_c, M_gthrd_c, M_h_c, M_gthox_c, M_msh_c",S: -1.0,0.0
20,R_S2FE2SR,"Reaction(id='R_S2FE2SR', name='SUF [2Fe-2S] regeneration', metabolites={Metabolite(id='M_adp_c', name='ADP', formula=C10H12N5O10P2, charge=-3, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 1.0, Metabolite(id='M_pi_c', name='Phosphate', formula=HO4P, charge=-2, SBO=247): 1.0, Metabolite(id='M_sufbcd_2fe2s_c', name='SufBCD with bound [2Fe-2S] cluster', formula=Fe26HRS2, charge=1, SBO=247): 1.0, Metabolite(id='M_sufse_c', name='SufSE sulfur acceptor complex', formula=HRS, charge=0, SBO=247): 1.0, Metabolite(id='M_2fe1s_c', name='[2Fe-1S] desulfurated iron-sulfur cluster', formula=Fe26HRS, charge=1, SBO=247): -1.0, Metabolite(id='M_atp_c', name='ATP', formula=C10H12N5O13P3, charge=-4, SBO=247): -1.0, Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): -1.0, Metabolite(id='M_sufbcd_c', name='SufBCD scaffold complex', formula=R, charge=0, SBO=247): -1.0, Metabolite(id='M_sufsesh_c', name='SufSE with bound sulfur', formula=HRS2, charge=0, SBO=247): -1.0}, SBO=176)",Mass,,,R: -1.0,0.0
21,R_S2FE2ST,"Reaction(id='R_S2FE2ST', name='SUF [2Fe-2S] Transfer', metabolites={Metabolite(id='M_2fe2s_c', name='[2Fe-2S] iron-sulfur cluster', formula=Fe26HRS2, charge=1, SBO=247): 1.0, Metabolite(id='M_sufbcd_c', name='SufBCD scaffold complex', formula=R, charge=0, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 0.0, Metabolite(id='M_sufbcd_2fe2s_c', name='SufBCD with bound [2Fe-2S] cluster', formula=Fe26HRS2, charge=1, SBO=247): -1.0}, SBO=176)",Mass,,,R: 1.0,0.0
22,R_S4FE4ST,"Reaction(id='R_S4FE4ST', name='SUF [4Fe-4S] Transfer', metabolites={Metabolite(id='M_4fe4s_c', name='[4Fe-4S] iron-sulfur cluster', formula=Fe28RS4, charge=0, SBO=247): 1.0, Metabolite(id='M_sufbcd_c', name='SufBCD scaffold complex', formula=R, charge=0, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 1.0, Metabolite(id='M_sufbcd_4fe4s_c', name='SufBCD with bound [4Fe-4S] cluster', formula=Fe28HRS4, charge=1, SBO=247): -1.0}, SBO=176)",Mass,,,R: 1.0,0.0
23,R_ACPPAT181,"Reaction(id='R_ACPPAT181', name='Acyl-(acyl carrier protein):phosphate acyltransferase (C18:1)', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_ocdceap_c', name='Octadecanoyl-phosphate (n-C18:1)', formula=C18H34O5P, charge=-1, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -2.0, Metabolite(id='M_octeACP_c', name='Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)', formula=C29H53N2O8PR, charge=-1, SBO=247): -1.0, Metabolite(id='M_pi_c', name='Phosphate', formula=HO4P, charge=-2, SBO=247): -1.0}, SBO=176)",Charge,,,,-2.0
24,R_AGPAT141,"Reaction(id='R_AGPAT141', name='1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_pa141_c', name='1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate', formula=C31H56O8P, charge=-1, SBO=247): 1.0, Metabolite(id='M_1tdec7eg3p_c', name='1-tetradec-7-enoyl-sn-glycerol 3-phosphate', formula=C17H32O7P, charge=-1, SBO=247): -1.0, Metabolite(id='M_tdeACP_c', name='Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)', formula=C25H45N2O8PR, charge=-1, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -1.0}, SBO=402)",Charge,,,,-2.0
25,R_AGPAT160,"Reaction(id='R_AGPAT160', name='1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_pa160_c', name='1,2-dihexadecanoyl-sn-glycerol 3-phosphate', formula=C35H67O8P, charge=-2, SBO=247): 1.0, Metabolite(id='M_1hdecg3p_c', name='1-hexadecanoyl-sn-glycerol 3-phosphate', formula=C19H37O7P, charge=-2, SBO=247): -1.0, Metabolite(id='M_palmACP_c', name='Palmitoyl-ACP (n-C16:0ACP)', formula=C27H51N2O8PR, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -1.0}, SBO=402)",Charge,,,,-1.0
26,R_AGPAT180,"Reaction(id='R_AGPAT180', name='1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)', metabolites={Metabolite(id='M_ACP_c', name='Acyl carrier protein', formula=C11H22N2O7PR, charge=-2, SBO=247): 1.0, Metabolite(id='M_pa180_c', name='1,2-dioctadecanoyl-sn-glycerol 3-phosphate', formula=C39H75O8P, charge=-2, SBO=247): 1.0, Metabolite(id='M_1odecg3p_c', name='1-octadecanoyl-sn-glycerol 3-phosphate', formula=C21H41O7P, charge=-2, SBO=247): -1.0, Metabolite(id='M_ocdcaACP_c', name='Octadecanoyl-ACP (n-C18:0ACP)', formula=C29H55N2O8PR, charge=-2, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -1.0}, SBO=402)",Charge,,,,-1.0
27,R_AMMQT8,"Reaction(id='R_AMMQT8', name='AMMQT8', metabolites={Metabolite(id='M_ahcys_c', name='S-Adenosyl-L-homocysteine', formula=C14H20N6O5S, charge=0, SBO=247): 1.0, Metabolite(id='M_mql8_c', name='Menaquinol 8', formula=C51H74O2, charge=0, SBO=247): 1.0, Metabolite(id='M_2dmmq8_c', name='2-Demethylmenaquinone 8', formula=C50H70O2, charge=0, SBO=247): -1.0, Metabolite(id='M_amet_c', name='S-Adenosyl-L-methionine', formula=C15H23N6O5S, charge=1, SBO=247): -1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): -1.0}, SBO=176)",Charge,R_AMMQT8,"M_ahcys_c, M_mql8_c, M_2dmmq8_c, M_amet_c, M_h_c",,-2.0
28,R_AMPMS,"Reaction(id='R_AMPMS', name='4-amino-2-methyl-5-phosphomethylpyrimidine synthetase', metabolites={Metabolite(id='M_4ampm_c', name='4-Amino-2-methyl-5-phosphomethylpyrimidine', formula=C6H8N3O4P, charge=-2, SBO=247): 1.0, Metabolite(id='M_for_c', name='Formate', formula=CHO2, charge=-1, SBO=247): 2.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 5.0, Metabolite(id='M_air_c', name='5-amino-1-(5-phospho-D-ribosyl)imidazole', formula=C8H13N3O7P, charge=-1, SBO=247): -1.0, Metabolite(id='M_h2o_c', name='H2O', formula=H2O, charge=0, SBO=247): -1.0}, SBO=176)",Charge,R_AMPMS,"M_air_c, M_4ampm_c, M_h2o_c, M_h_c, M_for_c",,2.0
29,R_BMNMSHS,"Reaction(id='R_BMNMSHS', name='BMNMSHS', metabolites={Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_bmnmsh_c', name='Bimane conjugated mycothiol (mtb)', formula=C27H40N4O14S, charge=0, SBO=247): 1.0, Metabolite(id='M_msh_c', name='Mycothiol (reduced)', formula=C17H30N2O12S, charge=0, SBO=247): -1.0, Metabolite(id='M_bmn_c', name='Bimane', formula=C10H12N2O2, charge=0, SBO=247): -1.0}, SBO=176)",Charge,R_BMNMSHS,"M_bmn_c, M_bmnmsh_c, M_msh_c, M_h_c",,2.0
30,R_BTS2,"Reaction(id='R_BTS2', name='BTS2', metabolites={Metabolite(id='M_ala__L_c', name='L-Alanine', formula=C3H7NO2, charge=0, SBO=247): 1.0, Metabolite(id='M_btn_c', name='Biotin', formula=C10H15N2O3S, charge=-1, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_cys__L_c', name='L-Cysteine', formula=C3H7NO2S, charge=0, SBO=247): -1.0, Metabolite(id='M_dtbt_c', name='Dethiobiotin', formula=C10H17N2O3, charge=-1, SBO=247): -1.0}, SBO=176)",Charge,R_BTS2,"M_dtbt_c, M_btn_c, M_h_c, M_cys__L_c, M_ala__L_c",,2.0
31,R_DHNAOT,"Reaction(id='R_DHNAOT', name='1,4-dihydroxy-2-naphthoate octaprenyltransferase', metabolites={Metabolite(id='M_2dmmq8_c', name='2-Demethylmenaquinone 8', formula=C50H70O2, charge=0, SBO=247): 1.0, Metabolite(id='M_co2_c', name='CO2', formula=CO2, charge=0, SBO=247): 1.0, Metabolite(id='M_h_c', name='H+', formula=H, charge=1, SBO=247): 2.0, Metabolite(id='M_ppi_c', name='Diphosphate', formula=HO7P2, charge=-3, SBO=247): 1.0, Metabolite(id='M_dhna_c', name='1,4-Dihydroxy-2-naphthoate', formula=C11H7O4, charge=-1, SBO=247): -1.0, Metabolite(id='M_octdp_c', name='All-trans-Octaprenyl diphosphate', formula=C40H66O7P2, charge=-2, SBO=247): -1.0}, SBO=399)",Charge,R_DHNAOT,"M_ppi_c, M_2dmmq8_c, M_h_c, M_dhna_c, M_co2_c, M_octdp_c",,2.0
